tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt0273477,Brahmachari,1938.0,[],"['nm0898521', 'nm0423649', 'nm0759425', 'nm0540847', 'nm0419480']",152.0,7.1,Marathi Hindi,India,10.0,,,"Audumbar is a young and ordinary man. On one occasion he happens to listen to the lecture given by Deshbhakta Jatashankar. Jatashankar in his speech emphasizes discipline and celibacy. This speech inspires Audumbar and he decides to join the Institute of Acharya Chandiram. He renounces his sexual desires and also throws away his collection of posters of film actors. But at the institute, he comes across Kishori, a young woman and all his vows to Brahmacharya are tested. Kishori tempts Audumbar but Audumbar manages to avoid the temptation. Kishori pretends to hurt herself and calls out Audumbar. Audumbar finally has no choice and carries her. Her father and the townsfolk from the association come and find him carrying Kishori. She screams and the blame comes on Audumbar. Audumbar years later runs a collection of goods from the institute. He once again meets Kishori who appears with one of the members of Acharya Chandiram. He resents and doesn't like her but slowly over time she wins him over. But then Audumbar fights constantly with Kishori. She is left in tears. Her father tries to comfort to no avail. The member who goes with Kishori is attracted to her. He eventually is caught in an allegation that Audumbar tells the chief and Audumbar marries Kishori."
tt0273478,Brahmachari,1938.0,[],"['nm0898521', 'nm0423649', 'nm0759425', 'nm0540847', 'nm0419480']",156.0,,Marathi Hindi,India,,,,"Audumbar is a young and ordinary man. On one occasion he happens to listen to the lecture given by Deshbhakta Jatashankar. Jatashankar in his speech emphasizes discipline and celibacy. This speech inspires Audumbar and he decides to join the Institute of Acharya Chandiram. He renounces his sexual desires and also throws away his collection of posters of film actors. But at the institute, he comes across Kishori, a young woman and all his vows to Brahmacharya are tested. Kishori tempts Audumbar but Audumbar manages to avoid the temptation. Kishori pretends to hurt herself and calls out Audumbar. Audumbar finally has no choice and carries her. Her father and the townsfolk from the association come and find him carrying Kishori. She screams and the blame comes on Audumbar. Audumbar years later runs a collection of goods from the institute. He once again meets Kishori who appears with one of the members of Acharya Chandiram. He resents and doesn't like her but slowly over time she wins him over. But then Audumbar fights constantly with Kishori. She is left in tears. Her father tries to comfort to no avail. The member who goes with Kishori is attracted to her. He eventually is caught in an allegation that Audumbar tells the chief and Audumbar marries Kishori."
tt0274388,"Bodishi, tkven gelit sikvdili",1965.0,['Comedy'],"['nm0541830', 'nm0452052', 'nm0681274', 'nm0649526', 'nm0865745']",75.0,7.6,,,55.0,,,
tt0274393,Brandichi Batli,1939.0,[],"['nm0540847', 'nm0423649', 'nm0759425', 'nm0419480']",147.0,,,,,,,
tt0274394,Brandy Ki Botal,1939.0,[],"['nm0898521', 'nm0423649', 'nm0759425', 'nm0419480']",146.0,,,,,,,
tt0275681,Broken Silence,2001.0,"['Adventure', 'Drama', 'Thriller']","['nm0098709', 'nm0209968', 'nm0643679', 'nm0031914', 'nm0646517']",110.0,6.7,Spanish,Spain,765.0,,,"Starting in Navarre in 1944, [ 4 ] The plot begins with Lucía, a young woman, returning to her village after nine years. The year is 1944, and Francisco Franco has already won the war. Lucía explains that she has to come back - supposedly to earn money - because her mother has five other children. We get to know Teresa, Sebas, Manuel, and Hilario, who has just returned from jail. We can also see the soldiers' office, which has the phrase “Todo por la patria” (All for the Fatherland) painted above the door. After arriving, Lucía lives with Teresa and starts working at her bar. From the first frame, you can see the oppression that the soldiers exert on the town. In one scene, the sergeant orders Sebas to drink a whole bottle of castor oil because he has said a curse word. Soon after, the Boss's wife (Sole) runs to tell Lucía and Teresa that the soldiers are coming for Manuel. Manuel runs to the mountains to join the maquis (the guerrilla fighters who live there), so instead of him, the soldiers punish Rosario, her mother. After that, Lucía brings Genaro some papers to the mountains to help the maquis, and her relationship with Manuel becomes romantic again. The seasons change, and 1946 begins. The maquis invade the church during mass and capture several soldiers. Matías goes to ""talk"" to Cosme, but insults him for being a Francoist. Lola explains that when she returned from the war, Cosme found out that Hilario and Teresa had lived together, and that is why she betrayed Hilario and Matías."
tt0275979,Boys on the Run,2002.0,"['Action', 'Adventure', 'Romance']","['nm0514725', 'nm0480798', 'nm0000579', 'nm0379157', 'nm1064891']",97.0,5.4,,,223.0,,,
tt0276818,Bungee Jumping of Their Own,2001.0,"['Drama', 'Romance']","['nm0496932', 'nm1005183', 'nm1045934', 'nm1223599', 'nm1059148']",107.0,6.9,Korean,South Korea,1761.0,,,"In 1983, Seo In-woo ( Lee Byung-hun ) is attending university in Seoul . One rainy night, he has a chance encounter with a woman who shares his umbrella as they walk to the bus stop. He becomes infatuated with her, feeling he has experienced love at first sight . He later discovers the woman is In Tae-hee ( Lee Eun-ju ), an art student at the same university, and begins crashing her classes to spend more time with her. Their relationship intensifies on a school trip to the mountains, and Tae-hee gifts In-woo a gold lighter with a custom engraving of her face. Shortly after, Tae-hee is unexpectedly hit by a truck and killed. 17 years later, In-woo has become a high school teacher, and is married with an infant daughter. Im Hyun-bin ( Yeo Hyun-soo ), who is known for his raunchy jokes and aggressive flirting with female student Yeo Hye-su ( Hong Soo-hyun ), is placed in In-woo's homeroom class at the start of a new school year. In-woo begins to notice similarities between Hyun-bin and Tae-hee and becomes infatuated with the male student; he makes phone calls to Hyun-bin after school hours and finds excuses to casually touch his shoulders. He experiences a crisis of sexuality , struggling to be intimate with his wife and seeking psychiatric evaluation. Hyun-bin and Hye-su start going steady. During one of their dates, Hyun-bin discovers the gold lighter for sale at a market. Feeling drawn to the engraved image of Tae-hee, he takes it to school and sketches her face during class. In-woo catches this and has a public outburst, which sparks gossip in the school that he is a homosexual pursuing Hyun-bin. As his social status is threatened, Hyun-bin begins to lash out against In-woo. The rumors intensify, and In-woo is harassed by his students, fired from his job, and left by his wife."
tt0277612,"Boxoffice Bonanza of Sexploitation Trailers, Volume II",1992.0,['Documentary'],[],100.0,5.0,,,13.0,,,
tt0277614,Budi dan dosa,1963.0,"['Drama', 'Romance']","['nm0787921', 'nm0276781', 'nm0119700', 'nm0536709', 'nm1403610']",85.0,,,,,,,
